Filename,Output Written,Time Taken for Disambiguation,Compilable
7525367.java,True,0.9655048847198486,True
9791183.java,True,1.2164762020111084,True
13344290.java,True,0.8152592182159424,True
17830886.java,True,1.065648078918457,True
15195064.java,True,0.7150561809539795,True
22207784.java,True,1.015592098236084,True
6298465.java,True,1.4663655757904053,True
2628771.java,True,2.0172972679138184,True
9062063.java,True,1.4162569046020508,True
11028858.java,True,1.366335391998291,True
11128255.java,True,1.115858554840088,True
518901.java,True,1.917271614074707,True
210587.java,True,2.3180131912231445,True
332635.java,True,2.318027973175049,True
19060603.java,True,1.0656085014343262,True
18731269.java,True,1.5164906978607178,True
16324741.java,True,1.1160037517547607,True
6613739.java,True,1.6677896976470947,True
21169707.java,True,1.6167752742767334,True
2401851.java,True,1.1158289909362793,True
23290018.java,True,1.2161650657653809,True
8365268.java,True,1.7168593406677246,True
14638789.java,True,1.566619634628296,True
14341904.java,True,0.9153866767883301,True
1115284.java,True,1.2159442901611328,True
16572931.java,True,1.4684927463531494,True
3683344.java,True,1.7167408466339111,True
16845107.java,True,1.1658568382263184,True
19193813.java,True,1.5165088176727295,True
3402498.java,True,1.6177704334259033,True
16639229.java,True,1.0157561302185059,True
11153282.java,True,0.9655847549438477,True
9590327.java,True,0.96551513671875,True
14624031.java,True,1.1157536506652832,True
3463984.java,True,0.9654929637908936,True
16082064.java,True,1.0657289028167725,True
19290859.java,True,1.0657594203948975,True
9914788.java,True,1.2660975456237793,True
76427.java,True,2.267672061920166,True
14820302.java,True,1.8172006607055664,True
17335375.java,True,1.1158709526062012,True
7187035.java,True,1.0657062530517578,True
19053519.java,True,1.7186710834503174,True
8156588.java,True,1.2662441730499268,True
7237618.java,True,1.066502571105957,True
7600378.java,True,1.3161330223083496,True
5834020.java,True,1.0156257152557373,True
1037402.java,True,1.215991735458374,True
7902686.java,True,2.167724609375,True
529986.java,True,0.7150814533233643,True
13565787.java,True,1.3680393695831299,True
22321272.java,True,0.9656217098236084,True
7306113.java,True,0.9656400680541992,True
4843969.java,True,1.3662757873535156,True
1069284.java,True,3.1748452186584473,True
390532.java,True,1.4162702560424805,True
10878119.java,True,1.1659610271453857,True
14473711.java,True,1.1158335208892822,True
9423426.java,True,1.4162828922271729,True
13540821.java,True,1.666649580001831,True
14846414.java,True,1.7668180465698242,True
3409084.java,True,1.015604019165039,True
22255481.java,True,1.2660598754882812,True
6066145.java,True,1.0157134532928467,True
9558449.java,True,1.5676453113555908,True
15354003.java,True,1.0657641887664795,True
15409512.java,True,1.266225814819336,True
9552428.java,True,1.015744924545288,True
18042303.java,True,1.968153476715088,True
22862554.java,True,2.318002223968506,True
793635.java,True,2.268010377883911,True
8166293.java,True,0.9654619693756104,True
10545755.java,True,1.015730381011963,True
3740984.java,True,1.366290807723999,True
13531653.java,True,1.3161675930023193,True
19717905.java,True,1.867199420928955,True
17337889.java,True,1.3160367012023926,True
5811449.java,True,1.3669965267181396,True
20492893.java,True,1.216139316558838,True
19660641.java,True,1.1694555282592773,True
20601754.java,True,1.1659307479858398,True
23609709.java,True,1.4162580966949463,True
23107114.java,True,1.0157861709594727,True
11933797.java,True,0.9657764434814453,True
254039.java,True,1.516514778137207,True
9756057.java,True,1.0656230449676514,True
6597132.java,True,1.165982961654663,True
16944401.java,True,0.9654617309570312,True
22088424.java,True,0.8153138160705566,True
21836608.java,True,1.5165858268737793,True
14483567.java,True,1.71694016456604,True
20282669.java,True,1.7671666145324707,True
4085696.java,True,1.065760850906372,True
9245183.java,True,1.2163474559783936,True
13024208.java,True,1.667099952697754,True
5091542.java,True,1.5167300701141357,True
624490.java,True,2.2212512493133545,True
12730349.java,True,1.4165823459625244,True
10688093.java,True,0.9654440879821777,True
13744886.java,True,1.3662877082824707,True
7911674.java,True,1.2660260200500488,True
12174403.java,True,1.1158576011657715,True
7776792.java,True,1.1670281887054443,True
23511345.java,True,1.0657825469970703,True
2088568.java,True,1.115898847579956,True
22434268.java,True,0.966219425201416,True
17905171.java,True,1.06585693359375,True
23530036.java,True,1.416565179824829,True
11513043.java,True,1.3161554336547852,True
12389873.java,True,1.7669458389282227,True
2031752.java,True,1.0658202171325684,True
848240.java,True,1.8671703338623047,True
18034373.java,True,1.065718412399292,True
2084425.java,True,0.8653788566589355,True
20751378.java,True,1.166079044342041,True
19307120.java,True,1.166093349456787,True
14168494.java,True,0.9653346538543701,True
418257.java,True,1.3663666248321533,True
854262.java,True,2.3195455074310303,True
13745376.java,True,1.5702648162841797,True
13927065.java,True,0.9153869152069092,True
8009241.java,True,1.065784215927124,True
9965674.java,True,1.8672645092010498,True
22608285.java,True,1.5166640281677246,True
20423573.java,True,1.0657165050506592,True
21457925.java,True,1.01558518409729,True
317857.java,True,1.566636562347412,True
18398590.java,True,1.165982961654663,True
8174539.java,True,1.6167402267456055,True
664803.java,True,1.7167315483093262,True
18924485.java,True,1.8175694942474365,True
285947.java,True,2.2178525924682617,True
5026545.java,True,1.466331958770752,True
241286.java,True,2.017519474029541,True
1427084.java,True,1.0655910968780518,True
22242021.java,True,1.7669527530670166,True
18340402.java,True,2.4682092666625977,True
21929693.java,True,1.5167148113250732,True
1215899.java,True,1.4678025245666504,True
18314468.java,True,1.0656847953796387,True
10912336.java,True,1.9671311378479004,True
266571.java,True,1.3660006523132324,True
5910211.java,True,1.6666274070739746,True
9918989.java,True,1.0658137798309326,True
16851956.java,True,1.3662419319152832,True
19322943.java,True,1.0659058094024658,True
1008325.java,True,1.6668012142181396,True
16621499.java,True,0.9656534194946289,True
8385051.java,True,1.7170698642730713,True
17386977.java,True,1.166109323501587,True
9342083.java,True,1.215993881225586,True
10158741.java,True,1.2661244869232178,True
1424647.java,True,1.1157402992248535,True
8809710.java,True,0.9155318737030029,True
581756.java,True,1.6167528629302979,True
23291433.java,True,1.0657391548156738,True
323161.java,True,1.8679065704345703,True
1490117.java,True,0.9654970169067383,True
10851.java,True,2.1175408363342285,True
20418573.java,True,1.1158461570739746,True
14050307.java,True,1.666816234588623,True
16604588.java,True,1.416276216506958,True
21013026.java,True,0.9654889106750488,True
23486114.java,True,1.0656895637512207,True
9561059.java,True,1.1157164573669434,True
10912333.java,True,3.620056629180908,True
23512543.java,True,1.4163541793823242,True
15982225.java,True,1.1158835887908936,True
9835798.java,True,1.0164144039154053,True
18784731.java,True,1.1159470081329346,True
21674149.java,True,6.527090072631836,True
16511009.java,True,1.3162262439727783,True
15183953.java,True,1.065889596939087,True
21295980.java,True,1.065711259841919,True
18629450.java,True,1.1157927513122559,True
6288459.java,True,2.1177985668182373,True
11238287.java,True,2.1680073738098145,True
11592707.java,True,1.466496229171753,True
228212.java,True,0.9654629230499268,True
7465588.java,True,1.5167551040649414,True
1769771.java,True,0.9656317234039307,True
23119494.java,True,1.6167347431182861,True
14945924.java,True,1.266139030456543,True
19322907.java,True,0.9655067920684814,True
13048963.java,True,0.9155046939849854,True
7927385.java,True,1.6669034957885742,True
20150446.java,True,1.0658166408538818,True
4087402.java,True,1.0657193660736084,True
4507906.java,True,0.9653542041778564,True
