Filename,Output Written,Time Taken for Disambiguation,Compilable
1.java,True,1.165745496749878,True
2.java,True,1.4670796394348145,True
3.java,True,1.5667426586151123,True
4.java,True,1.0657436847686768,True
5.java,True,2.718336343765259,True
6.java,True,0.9152820110321045,True
7.java,True,2.317930221557617,True
8.java,False,1.8171615600585938,False
9.java,True,1.6164801120758057,True
10.java,True,1.6168625354766846,True
11.java,True,0.8155086040496826,True
12.java,True,0.9655005931854248,True
13.java,False,0.915351152420044,False
14.java,False,3.870452880859375,False
15.java,False,0.6150264739990234,False
16.java,True,0.9654278755187988,True
17.java,True,4.121109247207642,True
18.java,False,0.6149449348449707,False
19.java,False,0.9153347015380859,False
20.java,False,0.8186140060424805,False
21.java,False,0.6147637367248535,False
22.java,False,1.8707773685455322,False
23.java,False,1.166247844696045,False
24.java,False,3.419667959213257,False
25.java,False,0.865450382232666,False
26.java,False,1.6167666912078857,False
27.java,False,1.317854881286621,False
28.java,False,0.7152996063232422,False
29.java,True,1.0659754276275635,True
30.java,True,1.366257905960083,True
