Filename,Output Written,Time Taken for Disambiguation,Compilable
16851955.java,True,1.5666460990905762,True
16621503.java,True,1.2661919593811035,True
2024243.java,True,9.637478828430176,True
21566853.java,True,1.8171343803405762,True
19653581.java,True,2.469642162322998,True
3011498.java,True,1.5665903091430664,True
12082140.java,True,2.820012331008911,True
19392665.java,True,2.56913423538208,True
21273051.java,True,1.4701402187347412,True
7169984.java,True,1.667147159576416,True
19520611.java,True,1.2161400318145752,True
15796840.java,True,1.6676993370056152,True
18208567.java,True,3.7708065509796143,True
16129965.java,True,1.1657779216766357,True
8898759.java,True,1.6166846752166748,True
4975451.java,True,2.618520736694336,True
13420786.java,True,1.3661627769470215,True
2105651.java,True,2.4181320667266846,True
19627256.java,True,1.3662354946136475,True
11117247.java,True,2.36816143989563,True
7149578.java,True,5.173619747161865,True
21273054.java,False,0.9655637741088867,False
15826300.java,True,1.2662725448608398,True
23383764.java,True,1.8306200504302979,True
3298287.java,True,1.5164949893951416,True
5907854.java,True,3.778221845626831,True
14764852.java,True,1.46665358543396,True
12689310.java,True,1.8195011615753174,True
5620476.java,True,2.118114709854126,True
5243677.java,True,1.4164769649505615,True
13192162.java,True,1.616661548614502,True
20611739.java,True,1.5666427612304688,True
8209783.java,True,1.3162658214569092,True
4291745.java,True,1.4164247512817383,True
3675186.java,True,1.0656547546386719,True
18785060.java,True,2.2178263664245605,True
18744498.java,True,2.5182271003723145,True
12816475.java,True,1.8170280456542969,True
18315736.java,True,1.766960859298706,True
1443205.java,True,2.1180243492126465,True
276152.java,True,2.4683001041412354,True
21164147.java,True,2.123812675476074,True
18098931.java,True,1.4663887023925781,True
14193058.java,True,2.3683135509490967,True
10174628.java,True,0.8152215480804443,True
5229696.java,True,1.3164722919464111,True
5772506.java,True,2.368231773376465,True
13657103.java,True,4.6224188804626465,True
19549577.java,True,2.1177191734313965,True
20028789.java,True,2.6689817905426025,True
6182433.java,True,2.1180269718170166,True
19403960.java,True,1.7169146537780762,True
16353023.java,True,1.3662950992584229,True
16553582.java,True,3.520672559738159,True
11750118.java,True,1.4163970947265625,True
5597187.java,True,2.4690701961517334,True
14481929.java,True,1.4665210247039795,True
7398604.java,True,2.6185264587402344,True
20282675.java,True,1.3160951137542725,True
8665322.java,True,1.4705710411071777,True
12979701.java,True,1.0657126903533936,True
16532304.java,True,3.1200079917907715,True
18539809.java,True,1.8170769214630127,True
17044784.java,True,2.8188953399658203,True
4340712.java,True,1.0658435821533203,True
7542015.java,True,1.8194878101348877,True
13828673.java,True,2.6700940132141113,True
6957384.java,True,2.1681904792785645,True
21273060.java,False,1.0156590938568115,False
21868018.java,True,1.4163486957550049,True
17083224.java,True,1.5671031475067139,True
23398987.java,True,1.6671392917633057,True
494226.java,True,2.6686851978302,True
1698200.java,True,2.5684239864349365,True
18161428.java,True,2.61960506439209,True
17615293.java,True,1.4681320190429688,True
7781593.java,True,4.222213983535767,True
21454371.java,True,1.088768804897702,True
17499276.java,True,1.871288776397705,True
18046716.java,True,1.7690036296844482,True
3104483.java,True,2.0184543132781982,True
7902699.java,True,2.0677671432495117,True
12445282.java,True,2.1682169437408447,True
4818090.java,True,1.065690279006958,True
9272325.java,True,1.416391134262085,True
17682090.java,True,1.2158901691436768,True
6134110.java,True,4.622518539428711,True
6634370.java,True,1.0156772136688232,True
8384812.java,True,1.8172416687011719,True
1142777.java,True,1.867201805114746,True
17977185.java,True,1.917267084121704,True
3520277.java,True,1.7166967391967773,True
16851953.java,True,1.717606782913208,True
23496080.java,True,1.5248408317565918,True
15385608.java,True,2.418201446533203,True
14966336.java,True,5.027924537658691,True
12097100.java,True,4.901345252990723,True
22842673.java,True,6.363100290298462,True
22221629.java,True,3.326380729675293,True
14481928.java,True,2.578181266784668,True
21616119.java,True,13.577099800109863,True
13044936.java,True,2.521677255630493,True
17829989.java,True,3.8317923545837402,True
19378010.java,True,3.279583215713501,True
15495362.java,True,1.6171417236328125,True
22431487.java,True,2.1679162979125977,True
10535319.java,True,4.577798843383789,True
21293479.java,True,1.7178828716278076,True
6464850.java,True,1.9173810482025146,True
18519247.java,True,1.8670604228973389,True
10480050.java,True,2.3683841228485107,True
19603031.java,True,2.969017267227173,True
15076112.java,True,2.924846649169922,True
20303339.java,True,3.2200517654418945,True
12490144.java,True,4.3740012645721436,True
23647738.java,True,2.6193645000457764,True
21609539.java,True,1.970113754272461,True
1327097.java,True,2.924187183380127,True
18377055.java,True,0.9658217430114746,True
3298288.java,True,1.5669493675231934,True
21273056.java,False,1.3664004802703857,False
20215222.java,True,2.067744255065918,True
1508163.java,True,3.120893955230713,True
22788900.java,True,2.768512725830078,True
1931704.java,True,1.466454267501831,True
23677121.java,True,5.925323724746704,True
21540492.java,True,1.666736125946045,True
13456572.java,True,2.368166446685791,True
13657527.java,True,1.9233298301696777,True
7542014.java,True,1.9176266193389893,True
3872093.java,True,2.6185271739959717,True
18722984.java,True,2.5184402465820312,True
14340901.java,True,22.765459537506104,True
6436400.java,True,0.9655096530914307,True
23098143.java,True,4.421999931335449,True
14481930.java,True,2.068920373916626,True
15660054.java,True,1.9172725677490234,True
5891092.java,True,3.3703038692474365,True
21273059.java,False,0.8657121658325195,False
23248618.java,True,1.3662281036376953,True
13356869.java,True,2.2176194190979004,True
10236285.java,True,2.5227789878845215,True
13075309.java,True,2.217876434326172,True
13071869.java,True,2.9191854000091553,True
11656405.java,True,2.5687198638916016,True
8862015.java,True,2.2677600383758545,True
12107388.java,True,1.8174841403961182,True
7110627.java,True,2.618518590927124,True
7408304.java,True,1.8169755935668945,True
